id_venda,data,ano,mes,modelo,concessionaria,regiao,vendedor,unidades,preco_unitario,receita
V0001,2025-06-13,2025,6,Kicks,Nissan Centro,Nordeste,Ana Souza,4,132167.35,528669.4
V0002,2025-01-09,2025,1,Kicks,Nissan Centro,Sul,Ana Souza,4,137118.99,548475.96
V0003,2025-02-26,2025,2,Frontier,Nissan Norte,Nordeste,Bruno Lima,1,272647.69,272647.69
V0004,2025-07-15,2025,7,Versa,Nissan Centro,Sudeste,Carla Dias,7,115508.78,808561.46
V0005,2025-01-02,2025,1,Frontier,Nissan Centro,Norte,Elaine Costa,5,275033.88,1375169.4
V0006,2025-01-12,2025,1,Sentra,Nissan Zona Sul,Sudeste,Diego Reis,4,201902.15,807608.6
V0007,2025-04-01,2025,4,Sentra,Nissan Oeste,Nordeste,Bruno Lima,2,195545.54,391091.08
V0008,2025-08-25,2025,8,March,Nissan Centro,Nordeste,Ana Souza,1,88179.86,88179.86
V0009,2025-05-26,2025,5,Versa,Nissan Centro,Centro-Oeste,Diego Reis,7,127801.06,894607.4199999999
V0010,2025-09-03,2025,9,Leaf,Nissan Zona Sul,Norte,Bruno Lima,7,319059.05,2233413.35
V0011,2025-02-09,2025,2,Sentra,Nissan Oeste,Centro-Oeste,Elaine Costa,2,190003.75,380007.5
V0012,2025-01-03,2025,1,Kicks,Nissan Oeste,Norte,Carla Dias,5,141738.91,708694.55
V0013,2025-04-07,2025,4,Versa,Nissan Norte,Sul,Carla Dias,2,127580.09,255160.18
V0015,2025-03-03,2025,3,Leaf,Nissan Centro,Sudeste,Elaine Costa,8,337946.57,2703572.56
V0016,2025-02-12,2025,2,Versa,Nissan Norte,Norte,Elaine Costa,7,129044.06,903308.4199999999
V0017,2025-06-21,2025,6,Versa,Nissan Zona Sul,Não informado,Bruno Lima,8,115887.67,927101.36
V0018,2025-02-26,2025,2,Kicks,Nissan Centro,Sudeste,Ana Souza,4,129432.88,517731.52
V0019,2025-05-05,2025,5,Sentra,Nissan Norte,Sul,Diego Reis,8,186502.03,1492016.24
V0020,2025-01-04,2025,1,Frontier,Nissan Zona Sul,Centro-Oeste,Ana Souza,1,269759.72,269759.72
V0021,2025-02-18,2025,2,March,Nissan Zona Sul,Sul,Diego Reis,7,87646.81,613527.6699999999
V0022,2025-08-08,2025,8,March,Nissan Centro,Sudeste,Bruno Lima,1,96837.26,96837.26
V0023,2025-08-20,2025,8,Kicks,Nissan Centro,Centro-Oeste,Carla Dias,1,145542.17,145542.17
V0024,2025-07-07,2025,7,March,Nissan Oeste,Centro-Oeste,Bruno Lima,3,87721.81,263165.43
V0025,2025-03-22,2025,3,Kicks,Nissan Centro,Norte,Elaine Costa,8,137075.02,1096600.16
V0026,2025-01-18,2025,1,Leaf,Nissan Centro,Sul,Elaine Costa,7,308987.28,2162910.96
V0027,2025-06-18,2025,6,Leaf,Nissan Norte,Norte,Bruno Lima,6,342883.78,2057302.6800000002
V0028,2025-06-21,2025,6,Versa,Nissan Zona Sul,Nordeste,Elaine Costa,2,114145.32,228290.64
V0029,2025-05-10,2025,5,Versa,Nissan Centro,Nordeste,Carla Dias,2,127716.62,255433.24
V0030,2025-06-06,2025,6,March,Nissan Centro,Norte,Ana Souza,5,96401.55,482007.75
V0031,2025-07-10,2025,7,March,Nissan Centro,Nordeste,Carla Dias,5,92576.51,462882.55
V0032,2025-03-06,2025,3,Kicks,Nissan Centro,Centro-Oeste,Carla Dias,5,129023.72,645118.6
V0033,2025-04-24,2025,4,March,Nissan Oeste,Centro-Oeste,Bruno Lima,1,86808.92,86808.92
V0034,2025-04-21,2025,4,Sentra,Nissan Centro,Nordeste,Ana Souza,6,202704.84,1216229.04
V0035,2025-01-04,2025,1,March,Nissan Zona Sul,Norte,Bruno Lima,3,96331.44,288994.32
V0036,2025-07-01,2025,7,Sentra,Nissan Oeste,Nordeste,Bruno Lima,7,200315.21,1402206.47
V0037,2025-01-10,2025,1,Frontier,Nissan Centro,Sul,Bruno Lima,8,258818.45,2070547.6
V0038,2025-08-10,2025,8,Kicks,Nissan Zona Sul,Não informado,Elaine Costa,7,140175.54,981228.78
V0039,2025-09-03,2025,9,Kicks,Nissan Centro,Norte,Carla Dias,7,134316.81,940217.6699999999
V0040,2025-05-28,2025,5,Sentra,Nissan Zona Sul,Sudeste,Elaine Costa,7,180541.77,1263792.39
V0041,2025-04-04,2025,4,Frontier,Nissan Centro,Nordeste,Ana Souza,6,269422.5,1616535.0
V0042,2025-03-25,2025,3,Frontier,Nissan Oeste,Nordeste,Diego Reis,3,253484.2,760452.6000000001
V0043,2025-04-14,2025,4,March,Nissan Centro,Nordeste,Elaine Costa,5,87959.14,439795.7
V0044,2025-02-24,2025,2,March,Nissan Zona Sul,Sul,Elaine Costa,2,88820.3,177640.6
V0045,2025-02-27,2025,2,Sentra,Nissan Centro,Sudeste,Diego Reis,1,186547.61,186547.61
V0046,2025-11-06,2025,11,Leaf,Nissan Centro,Não informado,Bruno Lima,8,320625.56,2565004.48
V0047,2025-02-26,2025,2,Sentra,Nissan Oeste,Norte,Bruno Lima,8,181740.39,1453923.12
V0048,2025-06-20,2025,6,March,Nissan Norte,Norte,Diego Reis,6,96615.46,579692.76
V0049,2025-08-21,2025,8,March,Nissan Zona Sul,Sul,Bruno Lima,8,90765.82,726126.56
V0050,2025-03-03,2025,3,Versa,Nissan Zona Sul,Sudeste,Carla Dias,5,117658.1,588290.5
V0051,2025-09-04,2025,9,Sentra,Nissan Oeste,Sul,Carla Dias,2,190747.24,381494.48
V0052,2025-04-10,2025,4,Leaf,Nissan Oeste,Sudeste,Carla Dias,7,323842.36,2266896.52
V0053,2025-07-08,2025,7,March,Nissan Norte,Sul,Diego Reis,8,88067.23,704537.84
V0054,2025-04-14,2025,4,Sentra,Nissan Zona Sul,Não informado,Elaine Costa,1,202901.14,202901.14
V0055,2025-08-10,2025,8,Frontier,Nissan Centro,Sudeste,Bruno Lima,5,259813.71,1299068.55
V0056,2025-01-08,2025,1,Frontier,Nissan Zona Sul,Sudeste,Elaine Costa,8,247655.16,1981241.28
V0057,2025-07-19,2025,7,Kicks,Nissan Centro,Sul,Elaine Costa,4,142978.47,571913.88
V0058,2025-02-25,2025,2,Frontier,Nissan Oeste,Nordeste,Elaine Costa,6,252671.27,1516027.6199999999
V0059,2025-01-28,2025,1,Leaf,Nissan Centro,Nordeste,Bruno Lima,7,320500.82,2243505.74
V0060,2025-06-28,2025,6,Versa,Nissan Oeste,Norte,Elaine Costa,2,126421.14,252842.28
V0061,2025-01-18,2025,1,March,Nissan Oeste,Nordeste,Diego Reis,1,95440.03,95440.03
V0062,2025-04-28,2025,4,Sentra,Nissan Zona Sul,Sul,Elaine Costa,5,195713.04,978565.2000000001
V0063,2025-03-24,2025,3,Sentra,Nissan Centro,Nordeste,Diego Reis,8,186523.43,1492187.44
V0064,2025-08-06,2025,8,Versa,Nissan Centro,Centro-Oeste,Carla Dias,4,119535.27,478141.08
V0065,2025-05-23,2025,5,Kicks,Nissan Norte,Sul,Diego Reis,2,132485.8,264971.6
V0066,2025-07-02,2025,7,Frontier,Nissan Zona Sul,Sudeste,Diego Reis,2,256945.16,513890.32
V0067,2025-05-22,2025,5,March,Nissan Zona Sul,Centro-Oeste,Diego Reis,6,89616.18,537697.08
V0068,2025-03-22,2025,3,Kicks,Nissan Oeste,Norte,Diego Reis,3,131611.54,394834.62
V0069,2025-01-26,2025,1,Sentra,Nissan Zona Sul,Sul,Ana Souza,6,184932.21,1109593.26
V0070,2025-05-22,2025,5,Versa,Nissan Oeste,Sul,Ana Souza,8,115600.37,924802.96
V0071,2025-01-14,2025,1,Versa,Nissan Zona Sul,Sudeste,Ana Souza,2,120251.04,240502.08
V0072,2025-05-25,2025,5,Versa,Nissan Centro,Sul,Diego Reis,2,122705.94,245411.88
V0073,2025-08-04,2025,8,Frontier,Nissan Zona Sul,Nordeste,Elaine Costa,7,257321.85,1801252.95
V0074,2025-02-23,2025,2,Sentra,Nissan Zona Sul,Não informado,Elaine Costa,3,186424.67,559274.01
